Char,unicode repr,pybo Category,Name,General Category,Canonical-Combining-Class,Decomposition-Type,Decomposition-Mapping,IndicPositionalCategory,IndicSyllabicCategory,OpenType (from Harfbuzz),Sanskrit
0F16,—༖—,SYMBOL,TIBETAN LOGOTYPE SIGN LHAG RTAGS,So,0,,,,,,
0F17,—༗—,SYMBOL,TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS,So,0,,,,,,
0F18,—༘—,SYMBOL,TIBETAN ASTROLOGICAL SIGN -KHYUD PA,Mn,220,,,Bottom,,VMBlw,
0F19,—༙—,SYMBOL,TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS,Mn,220,,,Bottom,,VMBlw,
0F1A,—༚—,SYMBOL,TIBETAN SIGN RDEL DKAR GCIG,So,0,,,,,,
0F1B,—༛—,SYMBOL,TIBETAN SIGN RDEL DKAR GNYIS,So,0,,,,,,
0F1C,—༜—,SYMBOL,TIBETAN SIGN RDEL DKAR GSUM,So,0,,,,,,
0F1D,—༝—,SYMBOL,TIBETAN SIGN RDEL NAG GCIG,So,0,,,,,,
0F1E,—༞—,SYMBOL,TIBETAN SIGN RDEL NAG GNYIS,So,0,,,,,,
0F1F,—༟—,SYMBOL,TIBETAN SIGN RDEL DKAR RDEL NAG,So,0,,,,,,
0F20,—༠—,NUMERAL,TIBETAN DIGIT ZERO,Nd,0,,,,Number,B,
0F21,—༡—,NUMERAL,TIBETAN DIGIT ONE,Nd,0,,,,Number,B,
0F22,—༢—,NUMERAL,TIBETAN DIGIT TWO,Nd,0,,,,Number,B,
0F23,—༣—,NUMERAL,TIBETAN DIGIT THREE,Nd,0,,,,Number,B,
0F24,—༤—,NUMERAL,TIBETAN DIGIT FOUR,Nd,0,,,,Number,B,
